Uniprot accession	Primary gene name	Protein names	Gene names	PepCount	log2 fold change naive/primed	q-value	NAIVE_R1	NAIVE_R2	NAIVE_R3	PRIMED_A1	PRIMED_A2	PRIMED_E1	PRIMED_E2	Biological process	Molecular function	Cellular component
Q9NQ11	ATP13A2	Cation-transporting ATPase 13A2 (EC 3.6.3.-)	ATP13A2 PARK9	3	0.647	0.013278	5102337.1	5909082.9	4751693.2	2826798.4	2549952.3	4518655.8	3831238.8	autophagosome organization [GO:1905037]; cellular calcium ion homeostasis [GO:0006874]; cellular cation homeostasis [GO:0030003]; cellular iron ion homeostasis [GO:0006879]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to zinc ion [GO:0071294]; cellular zinc ion homeostasis [GO:0006882]; extracellular exosome biogenesis [GO:0097734]; ion transmembrane transport [GO:0034220]; negative regulation of lysosomal protein catabolic process [GO:1905166]; negative regulation of neuron death [GO:1901215]; peptidyl-aspartic acid autophosphorylation [GO:1990938]; polyamine transmembrane transport [GO:1902047]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of protein secretion [GO:0050714]; protein autophosphorylation [GO:0046777]; regulation of autophagosome size [GO:0016243]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of chaperone-mediated autophagy [GO:1904714]; regulation of endopeptidase activity [GO:0052548]; regulation of glucosylceramidase activity [GO:1905123]; regulation of intracellular protein transport [GO:0033157]; regulation of lysosomal protein catabolic process [GO:1905165]; regulation of macroautophagy [GO:0016241]; regulation of mitochondrion organization [GO:0010821]; zinc ion homeostasis [GO:0055069]	"ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; cupric ion binding [GO:1903135]; manganese ion binding [GO:0030145]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; zinc ion binding [GO:0008270]"	autophagosome [GO:0005776]; integral component of lysosomal membrane [GO:1905103]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; transport vesicle [GO:0030133]; vesicle [GO:0031982]; vesicle membrane [GO:0012506]
Q9BTX1	NDC1	Nucleoporin NDC1 (hNDC1) (Transmembrane protein 48)	NDC1 TMEM48	17	0.646	0.002519	44659664.7	45396070.9	35564753.0	27913842.9	23363421.2	26398411.6	29067481.6	intracellular transport of virus [GO:0075733]; mRNA export from nucleus [GO:0006406]; nuclear pore complex assembly [GO:0051292]; nuclear pore distribution [GO:0031081]; nuclear pore organization [GO:0006999]; protein sumoylation [GO:0016925]; protein transport [GO:0015031]; regulation of cellular response to heat [GO:1900034]; regulation of gene silencing by miRNA [GO:0060964]; regulation of glycolytic process [GO:0006110]; spermatogenesis [GO:0007283]; synapsis [GO:0007129]; tRNA export from nucleus [GO:0006409]; viral process [GO:0016032]; viral transcription [GO:0019083]	structural constituent of nuclear pore [GO:0017056]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; host cell [GO:0043657]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore transmembrane ring [GO:0070762]; plasma membrane [GO:0005886]
P04049	RAF1	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF	11	0.643	0.001816	19744818.7	21934636.9	18324025.3	14132641.8	12351610.2	11462057.3	13298320.0	MAPK cascade [GO:0000165]; activation of MAPKK activity [GO:0000186]; activation of adenylate cyclase activity [GO:0007190]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; death-inducing signaling complex assembly [GO:0071550]; face development [GO:0060324]; heart development [GO:0007507]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; intermediate filament cytoskeleton organization [GO:0045104]; ion transmembrane transport [GO:0034220]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of protein complex assembly [GO:0031333]; neurotrophin TRK receptor signaling pathway [GO:0048011]; platelet activation [GO:0030168]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of Rho protein signal transduction [GO:0035023]; regulation of apoptotic process [GO:0042981]; regulation of cell differentiation [GO:0045595]; regulation of cell motility [GO:2000145]; response to hypoxia [GO:0001666]; response to muscle stretch [GO:0035994]; signal transduction [GO:0007165]; somatic stem cell population maintenance [GO:0035019]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; wound healing [GO:0042060]	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; adenylate cyclase activator activity [GO:0010856]; adenylate cyclase binding [GO:0008179]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; mitogen-activated protein kinase kinase binding [GO:0031434]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	Golgi apparatus [GO:0005794]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]
P39656	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)	DDOST KIAA0115 OST48 OK/SW-cl.45	13	0.643	0.006232	105259085.2	122145036.5	104069704.2	59815615.8	63476006.8	94156361.9	69331080.4	T cell activation [GO:0042110]; neutrophil degranulation [GO:0043312]; protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]; protein glycosylation [GO:0006486]; response to cytokine [GO:0034097]	0	azurophil granule membrane [GO:0035577]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; oligosaccharyltransferase complex [GO:0008250]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q99959	PKP2	Plakophilin-2	PKP2	13	0.635	0.004554	20476517.6	30412465.0	24404396.1	14639214.7	15612382.7	18021390.1	15710540.2	adherens junction maintenance [GO:0034334]; bundle of His cell-Purkinje myocyte adhesion involved in cell communication [GO:0086073]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cell communication by electrical coupling involved in cardiac conduction [GO:0086064]; cell-cell adhesion [GO:0098609]; cell-cell junction assembly [GO:0007043]; cell-cell signaling involved in cardiac conduction [GO:0086019]; cornification [GO:0070268]; desmosome assembly [GO:0002159]; heart development [GO:0007507]; intermediate filament bundle assembly [GO:0045110]; keratinization [GO:0031424]; maintenance of animal organ identity [GO:0048496]; positive regulation of sodium ion transport [GO:0010765]; protein localization to plasma membrane [GO:0072659]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ventricular cardiac muscle cell action potential [GO:0098911]; ventricular cardiac muscle cell action potential [GO:0086005]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]	alpha-catenin binding [GO:0045294]; cadherin binding [GO:0045296]; cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication [GO:0086083]; intermediate filament binding [GO:0019215]; ion channel binding [GO:0044325]; molecular adaptor activity [GO:0060090]; protein kinase C binding [GO:0005080]; sodium channel regulator activity [GO:0017080]	adherens junction [GO:0005912]; cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; desmosome [GO:0030057]; integral component of membrane [GO:0016021]; intercalated disc [GO:0014704]; intermediate filament [GO:0005882]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q99836	MYD88	Myeloid differentiation primary response protein MyD88	MYD88	7	0.632	0.004266	18054058.6	19516029.0	16870599.9	13852336.3	11113263.7	9486133.3	12783903.4	3'-UTR-mediated mRNA stabilization [GO:0070935]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; Toll signaling pathway [GO:0008063]; apoptotic process [GO:0006915]; cell surface receptor signaling pathway [GO:0007166]; cellular response to mechanical stimulus [GO:0071260]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; defense response to Gram-positive bacterium [GO:0050830]; defense response to bacterium [GO:0042742]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; negative regulation of apoptotic process [GO:0043066]; phagocytosis [GO:0006909]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-23 production [GO:0032747]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of type I interferon production [GO:0032481]; regulation of inflammatory response [GO:0050727]; response to interleukin-1 [GO:0070555]; signal transduction [GO:0007165]; toll-like receptor 9 signaling pathway [GO:0034162]; toll-like receptor signaling pathway [GO:0002224]; type I interferon signaling pathway [GO:0060337]	TIR domain binding [GO:0070976]; Toll-like receptor binding [GO:0035325]; death receptor binding [GO:0005123]; identical protein binding [GO:0042802]; protein self-association [GO:0043621]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q6NSJ5	LRRC8E	Volume-regulated anion channel subunit LRRC8E (Leucine-rich repeat-containing protein 8E)	LRRC8E	20	0.631	0.005560	113925495.0	115982894.1	108302282.2	94832744.1	69504267.0	59368330.6	71551585.3	anion transmembrane transport [GO:0098656]; aspartate transmembrane transport [GO:0015810]; cellular response to osmotic stress [GO:0071470]; transmembrane transport [GO:0055085]	volume-sensitive anion channel activity [GO:0005225]	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; ion channel complex [GO:0034702]; plasma membrane [GO:0005886]
O75691	UTP20	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	UTP20 DRIM	36	0.627	0.008595	72523844.0	74234418.6	63673546.0	51949207.2	48066869.6	32818598.8	51428903.5	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; negative regulation of cell population proliferation [GO:0008285]; rRNA processing [GO:0006364]"	RNA binding [GO:0003723]	"90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]"
Q70E73	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1 (RAPH1) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein) (Lamellipodin) (Proline-rich EVH1 ligand 2) (PREL-2) (Protein RMO1)	RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1	6	0.627	0.002572	7234379.7	8597480.8	7833427.4	5517831.6	4725495.8	4544210.0	5693438.1	axon extension [GO:0048675]; signal transduction [GO:0007165]	0	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]
Q96QU8	XPO6	Exportin-6 (Exp6) (Ran-binding protein 20)	XPO6 KIAA0370 RANBP20	11	0.626	0.012118	23127083.3	21657910.2	19812386.5	18323424.1	13577621.3	10084444.2	14982096.6	protein export from nucleus [GO:0006611]	Ran GTPase binding [GO:0008536]; nuclear export signal receptor activity [GO:0005049]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
P21731	TBXA2R	Thromboxane A2 receptor (TXA2-R) (Prostanoid TP receptor)	TBXA2R	2	0.620	0.003152	3005715.1	4032864.1	3626815.6	2286768.9	2227490.4	2135672.5	2553353.2	G protein-coupled receptor signaling pathway [GO:0007186]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to lipopolysaccharide [GO:0071222]; inflammatory response [GO:0006954]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood coagulation [GO:0030194]; positive regulation of blood pressure [GO:0045777]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of vasoconstriction [GO:0045907]; response to ethanol [GO:0045471]; response to nutrient [GO:0007584]; response to testosterone [GO:0033574]	guanyl-nucleotide exchange factor activity [GO:0005085]; thromboxane A2 receptor activity [GO:0004961]	acrosomal vesicle [GO:0001669]; integral component of plasma membrane [GO:0005887]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]
O14795	UNC13B	Protein unc-13 homolog B (Munc13-2) (munc13)	UNC13B UNC13	20	0.620	0.002766	14390071.8	17382809.4	14516560.5	10825043.7	9020087.4	9342671.9	10962470.0	"acrosomal vesicle exocytosis [GO:0060478]; cellular response to glucose stimulus [GO:0071333]; chemical synaptic transmission [GO:0007268]; dense core granule priming [GO:0061789]; glutamate secretion [GO:0014047]; innervation [GO:0060384]; intracellular signal transduction [GO:0035556]; negative regulation of synaptic plasticity [GO:0031914]; neuromuscular junction development [GO:0007528]; neurotransmitter secretion [GO:0007269]; phagosome maturation [GO:0090382]; positive regulation of apoptotic process [GO:0043065]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of inhibitory postsynaptic potential [GO:0097151]; positive regulation of protein secretion [GO:0050714]; positive regulation of synaptic vesicle priming [GO:0010808]; presynaptic dense core vesicle exocytosis [GO:0099525]; regulation of short-term neuronal synaptic plasticity [GO:0048172]; synaptic transmission, glutamatergic [GO:0035249]; synaptic vesicle docking [GO:0016081]; synaptic vesicle maturation [GO:0016188]; synaptic vesicle priming [GO:0016082]"	GTP-dependent protein binding [GO:0030742]; Rab GTPase binding [GO:0017137]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; diacylglycerol binding [GO:0019992]; phospholipid binding [GO:0005543]; syntaxin-1 binding [GO:0017075]	Golgi apparatus [GO:0005794]; calyx of Held [GO:0044305]; cell junction [GO:0030054]; cytosol [GO:0005829]; early phagosome [GO:0032009]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]; presynaptic active zone cytoplasmic component [GO:0098831]; presynaptic membrane [GO:0042734]; ribbon synapse [GO:0097470]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195]
Q9UJZ1	STOML2	"Stomatin-like protein 2, mitochondrial (SLP-2) (EPB72-like protein 2) (Paraprotein target 7) (Paratarg-7)"	STOML2 SLP2 HSPC108	14	0.619	0.003817	64444600.4	76223947.4	57448524.3	49002726.8	39318979.8	44058154.8	39176969.3	"CD4-positive, alpha-beta T cell activation [GO:0035710]; T cell receptor signaling pathway [GO:0050852]; cellular calcium ion homeostasis [GO:0006874]; interleukin-2 production [GO:0032623]; lipid localization [GO:0010876]; mitochondrial ATP synthesis coupled proton transport [GO:0042776]; mitochondrial calcium ion transmembrane transport [GO:0006851]; mitochondrial protein processing [GO:0034982]; mitochondrion organization [GO:0007005]; positive regulation of cardiolipin metabolic process [GO:1900210]; positive regulation of mitochondrial DNA replication [GO:0090297]; positive regulation of mitochondrial membrane potential [GO:0010918]; protein complex oligomerization [GO:0051259]; stress-induced mitochondrial fusion [GO:1990046]"	GTPase binding [GO:0051020]; cardiolipin binding [GO:1901612]; signaling receptor binding [GO:0005102]	cytoskeleton [GO:0005856]; extrinsic component of plasma membrane [GO:0019897]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]
Q92542	NCSTN	Nicastrin	NCSTN KIAA0253 UNQ1874/PRO4317	22	0.614	0.002673	1879856368.5	1960285862.6	1832656766.5	1461254335.6	1244878828.0	1130669843.6	1129939858.1	"Notch receptor processing [GO:0007220]; Notch receptor processing, ligand-dependent [GO:0035333]; T cell proliferation [GO:0042098]; adult behavior [GO:0030534]; amyloid precursor protein biosynthetic process [GO:0042983]; amyloid precursor protein catabolic process [GO:0042987]; amyloid precursor protein metabolic process [GO:0042982]; amyloid-beta formation [GO:0034205]; cellular protein metabolic process [GO:0044267]; cellular response to calcium ion [GO:0071277]; central nervous system myelination [GO:0022010]; cerebellum development [GO:0021549]; dopamine receptor signaling pathway [GO:0007212]; ephrin receptor signaling pathway [GO:0048013]; epithelial cell proliferation [GO:0050673]; glutamate receptor signaling pathway [GO:0007215]; learning or memory [GO:0007611]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; myeloid cell homeostasis [GO:0002262]; neuron apoptotic process [GO:0051402]; neutrophil degranulation [GO:0043312]; positive regulation of amyloid precursor protein biosynthetic process [GO:0042986]; positive regulation of apoptotic process [GO:0043065]; positive regulation of catalytic activity [GO:0043085]; protein processing [GO:0016485]; proteolysis [GO:0006508]; regulation of long-term synaptic potentiation [GO:1900271]; short-term synaptic potentiation [GO:1990926]"	endopeptidase activity [GO:0004175]	Golgi apparatus [GO:0005794]; azurophil granule membrane [GO:0035577]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; gamma-secretase complex [GO:0070765]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; integral component of presynaptic membrane [GO:0099056]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; synaptic vesicle [GO:0008021]
O15530	PDPK1	3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)	PDPK1 PDK1	2	0.611	0.003412	8189639.5	9102378.2	8163080.2	6012586.6	5004819.2	4907479.3	6409482.2	Fc-epsilon receptor signaling pathway [GO:0038095]; T cell costimulation [GO:0031295]; T cell receptor signaling pathway [GO:0050852]; actin cytoskeleton organization [GO:0030036]; activation of protein kinase B activity [GO:0032148]; calcium-mediated signaling [GO:0019722]; cell migration [GO:0016477]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to insulin stimulus [GO:0032869]; epidermal growth factor receptor signaling pathway [GO:0007173]; extrinsic apoptotic signaling pathway [GO:0097191]; focal adhesion assembly [GO:0048041]; hyperosmotic response [GO:0006972]; intracellular signal transduction [GO:0035556]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; platelet activation [GO:0030168]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of phospholipase activity [GO:0010518]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of mast cell degranulation [GO:0043304]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; type B pancreatic cell development [GO:0003323]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; ATP binding [GO:0005524]; insulin receptor binding [GO:0005158]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]
Q9UK41	VPS28	Vacuolar protein sorting-associated protein 28 homolog (H-Vps28) (ESCRT-I complex subunit VPS28)	VPS28	10	0.607	0.003573	27778765.2	28545739.6	24101878.7	19913076.6	16695487.0	15192559.8	18799723.2	endosomal transport [GO:0016197]; intracellular transport of virus [GO:0075733]; macroautophagy [GO:0016236]; multivesicular body assembly [GO:0036258]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of ubiquitin-dependent endocytosis [GO:2000397]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; viral budding via host ESCRT complex [GO:0039702]; viral life cycle [GO:0019058]	protein-containing complex binding [GO:0044877]; ubiquitin binding [GO:0043130]	ESCRT I complex [GO:0000813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; host cell [GO:0043657]; late endosome membrane [GO:0031902]; plasma membrane [GO:0005886]
O75581	LRP6	Low-density lipoprotein receptor-related protein 6 (LRP-6)	LRP6	47	0.605	0.012464	127601531.1	114111347.1	107496339.3	81945649.5	79756731.0	54823942.9	94670610.2	"Wnt signaling pathway [GO:0016055]; Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation [GO:1904953]; Wnt signaling pathway involved in somitogenesis [GO:0090244]; anterior/posterior pattern specification [GO:0009952]; axis elongation involved in somitogenesis [GO:0090245]; beta-catenin destruction complex disassembly [GO:1904886]; bone morphogenesis [GO:0060349]; bone remodeling [GO:0046849]; branching involved in mammary gland duct morphogenesis [GO:0060444]; canonical Wnt signaling pathway [GO:0060070]; canonical Wnt signaling pathway involved in neural crest cell differentiation [GO:0044335]; canonical Wnt signaling pathway involved in regulation of cell proliferation [GO:0044340]; cell-cell adhesion [GO:0098609]; cellular response to cholesterol [GO:0071397]; cerebellum morphogenesis [GO:0021587]; cerebral cortex development [GO:0021987]; chemical synaptic transmission [GO:0007268]; convergent extension [GO:0060026]; dopaminergic neuron differentiation [GO:0071542]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic limb morphogenesis [GO:0030326]; embryonic pattern specification [GO:0009880]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; external genitalia morphogenesis [GO:0035261]; face morphogenesis [GO:0060325]; gastrulation with mouth forming second [GO:0001702]; midbrain development [GO:0030901]; midbrain dopaminergic neuron differentiation [GO:1904948]; midbrain-hindbrain boundary development [GO:0030917]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; neural crest cell differentiation [GO:0014033]; neural crest formation [GO:0014029]; neural tube closure [GO:0001843]; odontogenesis of dentin-containing tooth [GO:0042475]; pericardium morphogenesis [GO:0003344]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of cell cycle [GO:0045787]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; primitive streak formation [GO:0090009]; protein localization to plasma membrane [GO:0072659]; receptor-mediated endocytosis involved in cholesterol transport [GO:0090118]; response to peptide hormone [GO:0043434]; roof of mouth development [GO:0060021]; thalamus development [GO:0021794]; trachea cartilage morphogenesis [GO:0060535]"	Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]; apolipoprotein binding [GO:0034185]; coreceptor activity involved in Wnt signaling pathway [GO:0071936]; coreceptor activity involved in canonical Wnt signaling pathway [GO:1904928]; frizzled binding [GO:0005109]; identical protein binding [GO:0042802]; kinase inhibitor activity [GO:0019210]; low-density lipoprotein particle receptor activity [GO:0005041]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; toxin transmembrane transporter activity [GO:0019534]	Wnt signalosome [GO:1990909]; Wnt-Frizzled-LRP5/6 complex [GO:1990851]; caveola [GO:0005901]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; synapse [GO:0045202]
